customer_id,signup_date,region,acquisition_channel
C0153,2024-03-11,West,Email
C0154,2024-03-19,North,Search
C0155,2024-07-27,West,Search
C0156,2024-02-01,West,Search
C0157,2025-01-29,North,Email
C0158,2024-07-13,East,Search
C0159,2025-01-20,West,Email
C0160,2025-01-17,Central,Social
C0161,2024-09-06,West,Search
C0162,2024-01-15,West,Email
C0163,2024-03-25,South,Email
C0164,09/30/2024,West,Email
C0165,2024-10-15,North,Email
C0166,2024-08-07,West,Social
C0167,2024-01-26,East,Social
C0168,2024-08-20,West,Search
C0169,2025-01-20,West,Search
C0170,03/03/2025,North,Email
C0171,10/03/2024,East,Social
C0172,11/28/2024,North,Social
C0173,2024-05-06,North,Email
C0174,2024-03-19,West,Email
C0175,2024-02-28,South,Search
C0176,2024-12-24,East,Social
C0177,2024-11-06,North,Social
C0178,06/08/2024,North,Search
C0179,2024-10-21,West,Search
C0180,2025-01-01,Central,Email
